Student Id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
101,female,group B,bachelor's degree,standard,none,72,72,74
102,female,group C,some college,standard,completed,69,90,88
103,female,group B,master's degree,standard,none,90,95,93
104,male,group A,associate's degree,free/reduced,none,47,57,44
105,male,group C,some college,standard,none,76,78,75
106,female,group B,associate's degree,standard,none,71,83,78
107,female,group B,some college,standard,completed,88,95,92
108,male,group B,some college,free/reduced,none,40,43,39
109,male,group D,high school,free/reduced,completed,64,64,67
110,female,group B,high school,free/reduced,none,38,60,50
111,male,group C,associate's degree,standard,none,58,54,52
112,male,group D,associate's degree,standard,none,40,52,43
113,female,group B,high school,standard,none,65,81,73
114,male,group A,some college,standard,completed,78,72,70
115,female,group A,master's degree,standard,none,50,53,58
116,female,group C,some high school,standard,none,69,75,78
117,male,group C,high school,standard,none,88,89,86
118,female,group B,some high school,free/reduced,none,18,32,28
119,male,group C,master's degree,free/reduced,completed,46,42,46
120,female,group C,associate's degree,free/reduced,none,54,58,61
121,male,group D,high school,standard,none,66,69,63
122,female,group B,some college,free/reduced,completed,65,75,70
123,male,group D,some college,standard,none,44,54,53
124,female,group C,some high school,standard,none,69,73,73
125,male,group D,bachelor's degree,free/reduced,completed,74,71,80
126,male,group A,master's degree,free/reduced,none,73,74,72
127,male,group B,some college,standard,none,69,54,55
128,female,group C,bachelor's degree,standard,none,67,69,75
129,male,group C,high school,standard,none,70,70,65
130,female,group D,master's degree,standard,none,62,70,75
131,female,group D,some college,standard,none,69,74,74
132,female,group B,some college,standard,none,63,65,61
133,female,group E,master's degree,free/reduced,none,56,72,65
134,male,group D,some college,standard,none,40,42,38
135,male,group E,some college,standard,none,97,87,82
136,male,group E,associate's degree,standard,completed,81,81,79
137,female,group D,associate's degree,standard,none,74,81,83
138,female,group D,some high school,free/reduced,none,50,64,59
139,female,group D,associate's degree,free/reduced,completed,75,90,88
140,male,group B,associate's degree,free/reduced,none,57,56,57
141,male,group C,associate's degree,free/reduced,none,55,61,54
142,female,group C,associate's degree,standard,none,58,73,68
143,female,group B,associate's degree,standard,none,53,58,65
144,male,group B,some college,free/reduced,completed,59,65,66
145,female,group E,associate's degree,free/reduced,none,50,56,54
146,male,group B,associate's degree,standard,none,65,54,57
147,female,group A,associate's degree,standard,completed,55,65,62
148,female,group C,high school,standard,none,66,71,76
149,female,group D,associate's degree,free/reduced,completed,57,74,76
150,male,group C,high school,standard,completed,82,84,82
151,male,group E,some college,standard,none,53,55,48
152,male,group E,associate's degree,free/reduced,completed,77,69,68
153,male,group C,some college,standard,none,53,44,42
154,male,group D,high school,standard,none,88,78,75
155,female,group C,some high school,free/reduced,completed,71,84,87
156,female,group C,high school,free/reduced,none,33,41,43
157,female,group E,associate's degree,standard,completed,82,85,86
158,male,group D,associate's degree,standard,none,52,55,49
